name,number,title,full_name,term_quarter,term_year,grade_Ap,grade_A,grade_Am,grade_Bp,grade_B,grade_Bm,grade_Cp,grade_C,grade_Cm,grade_Dp,grade_D,grade_Dm,grade_F,grade_no_pass,grade_pass
AN N EA 10W,10W,Jerusalem: Holy City,Jeremy Smoak,FA,2017,0,22,25,20,35,16,3,7,2,0,0,0,6,0,0
AN N EA M103A,M103A,Ancient Egyptian Civilization,Nethany Simpson,FA,2017,1,4,2,4,6,2,5,1,2,0,1,0,2,0,2
AN N EA CM101A,CM101A,"Art and Architecture of Ancient Egypt, Predynastic Period to New Kingdom",Nethany Simpson,FA,2017,2,6,1,0,1,1,2,2,0,0,0,0,2,0,0
AN N EA M110A,M110A,Iranian Civilization,Rahim Shayegan,FA,2017,0,11,4,1,0,0,1,0,0,0,0,0,0,0,1
AN N EA M167,M167,Magic in Ancient World,Nethany Simpson,FA,2017,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0
AN N EA M50A,M50A,First Civilizations,Aaron Burke,FA,2017,3,15,10,9,6,9,2,4,1,0,2,1,5,0,0
ANTHRO 191HC,191HC,Data Analysis,Richard Lesure,FA,2017,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0
ANTHRO 19,19,Fiat Lux Freshman Seminars,Alan Fiske,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
ANTHRO 112P,112P,Selected Topics in Historical Archaeology: Historical Archaeology from Global Perspective,Sonali Gupta-Agarwal,FA,2017,4,9,8,6,3,0,1,0,0,0,0,0,0,0,1
ANTHRO 160A,160A,Native North Americans,Russell Thornton,FA,2017,12,38,15,1,1,0,0,1,0,0,0,0,0,0,1
ANTHRO 137P,137P,Anthropology of Deviance and Abnormality,Robert Lemelson,FA,2017,0,15,18,16,8,3,1,0,1,0,0,0,1,0,0
ANTHRO 149,149,Selected Topics in Social Anthropology,Heather Loyd,FA,2017,0,15,6,3,1,1,0,0,0,0,1,0,1,0,0
ANTHRO 128P,128P,Primate Behavior Nonhuman to Human,Susan Perry,FA,2017,1,47,7,16,31,12,9,35,2,0,2,0,0,1,8
ANTHRO M166Q,M166Q,Culture Area of Maghrib (North Africa),Aomar Boum,FA,2017,3,5,12,14,4,2,1,0,0,0,0,0,0,0,1
ANTHRO 126Q,126Q,Evolution of Genus Homo,Jennifer Rashidi,FA,2017,4,3,4,7,0,2,2,1,1,0,1,0,0,0,0
ANTHRO 138P,138P,Field Methods in Cultural Anthropology,Alan Fiske,FA,2017,1,39,15,9,6,4,2,6,0,0,0,0,0,0,0
ANTHRO 154P,154P,Multilingualism: Communities and Histories in Contact,Jan Hauck,FA,2017,3,7,7,2,1,1,0,0,0,0,0,0,0,0,0
ANTHRO 191,191,Variable Topics Research Seminars: Anthropology,Mariko Tamanoi,FA,2017,1,11,2,1,1,0,0,0,0,0,0,0,0,0,0
ANTHRO C117,C117,Selected Laboratory Topics in Archaeology,Thomas Wake,FA,2017,0,6,1,1,2,0,0,0,0,0,0,0,0,0,0
ANTHRO 139,139,Field Methods in Cultural Anthropology,Mi Kim,FA,2017,0,12,3,4,13,5,3,3,0,0,1,2,0,0,3
ANTHRO 159,159,Warfare and Conflict,Norma Mendoza-Denton,FA,2017,2,20,19,3,4,2,0,0,0,0,0,1,1,0,1
ANTHRO 124S,124S,Evolution of Human Sexual Behavior,Daniel Fessler,FA,2017,4,10,10,13,20,24,18,19,11,4,0,0,2,5,2
ANTHRO 142Q,142Q,Ethnic and Religious Minorities,Aomar Boum,FA,2017,3,15,17,20,8,6,7,1,1,0,2,1,1,0,4
ANTHRO 100,100,History of Anthropology,Charles Stewart,FA,2017,4,5,6,7,8,5,3,4,4,0,2,0,2,0,2
ANTHRO M150,M150,Language in Culture,Alessandro Duranti,FA,2017,0,10,11,4,20,5,10,9,4,1,2,1,3,0,1
ANTHRO 2,2,Archaeology: Introduction,Stephen Acabado,FA,2017,131,117,42,15,8,5,6,2,1,1,1,0,0,1,19
ANTHRO 4,4,Culture and Communication,Jan Hauck,FA,2017,37,47,48,25,35,17,3,9,0,1,2,0,2,1,5
ANTHRO 19,19,Fiat Lux Freshman Seminars,Linda Garro,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
ANTHRO 195CE,195CE,Ethnography and Experience in Los Angeles,Aomar Boum,FA,2017,0,4,2,0,2,0,0,0,0,0,0,0,0,0,2
ANTHRO M128R,M128R,Hormones and Behavior in Humans and Other Animals,Barnett Schlinger,FA,2017,1,6,1,2,3,0,1,1,0,0,1,0,0,0,0
ANTHRO 3,3,Culture and Society,Jessica Cattelino,FA,2017,2,45,63,57,41,44,22,25,8,2,2,1,10,3,9
ANTHRO 110,110,Principles of Archaeology,Greg Schachner,FA,2017,0,8,9,13,18,7,0,0,1,0,0,0,0,1,0
ANTHRO M128R,M128R,Hormones and Behavior in Humans and Other Animals,Jessica Lynch Alfaro,FA,2017,1,6,1,2,3,0,1,1,0,0,1,0,0,0,0
ANTHRO 116Q,116Q,Selected Topics in Archaeology of China,Min Li,FA,2017,1,36,2,1,0,0,0,0,0,0,0,0,0,0,0
ANTHRO 135,135,Visual Anthropology: Documentary Photography,Susan Slyomovics,FA,2017,3,20,19,7,3,2,1,0,0,0,0,0,0,0,0
APPLING 101W,101W,Introduction to Language Learning and Language Teaching,Olga Ivanova,FA,2017,0,39,13,6,1,0,0,0,0,1,0,0,0,0,0
ARABIC 103A,103A,Advanced Arabic,Abeer Hamza,FA,2017,4,5,1,1,1,0,0,1,0,0,0,0,0,0,0
ARABIC 102A,102A,Intermediate Standard Arabic,Abeer Hamza,FA,2017,2,4,4,0,2,1,0,0,0,0,0,0,0,0,0
ARABIC 1A,1A,Elementary Standard Arabic,Azza Ahmad,FA,2017,36,20,8,1,6,1,1,0,0,0,0,0,2,1,4
ARABIC M171,M171,Culture Area of Maghrib (North Africa),Aomar Boum,FA,2017,2,2,8,2,0,0,0,0,1,0,0,0,0,0,0
ARCH&UD 30,30,Introduction to Architectural Studies,Michael Osman,FA,2017,0,43,51,26,12,15,4,4,2,1,1,0,3,0,9
ARCH&UD 122,122,Studio II,Katy Barkan,FA,2017,1,8,10,3,2,0,1,0,0,0,0,0,0,0,0
ARCH&UD 131,131,Issues in Contemporary Design,Sylvia Lavin,FA,2017,2,8,6,4,4,0,1,0,0,0,0,0,0,0,0
ARCH&UD 141,141,Technology I: Projections,Mohamed Sharif,FA,2017,4,11,3,7,2,0,0,0,0,0,0,0,0,0,0
ARMENIA 104A,104A,Elementary Modern Eastern Armenian,Anahid Keshishian,FA,2017,0,14,4,0,0,0,0,0,0,0,0,0,0,0,1
ARMENIA 102A,102A,Intermediate Modern Western Armenian,Hagop Kouloujian,FA,2017,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMENIA 101A,101A,Elementary Modern Western Armenian,Hagop Kouloujian,FA,2017,1,9,0,0,1,1,0,0,0,0,0,0,0,0,0
ARMENIA 105A,105A,Intermediate Modern Eastern Armenian,Anahid Keshishian,FA,2017,2,20,3,0,0,0,0,0,0,0,0,0,0,0,0
ARMENIA 106A,106A,Advanced Modern Eastern Armenian,Anahid Keshishian,FA,2017,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0
ART 145,145,Advanced Sculpture,Fiona Connor,FA,2017,2,3,3,2,3,1,0,0,0,0,0,0,0,0,0
ART 1B,1B,Sculpture,Nancy Lupo,FA,2017,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1
ART 137,137,Advanced New Genres,Jennifer Bolande,FA,2017,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0
ART 148,148,Advanced Ceramics,Kevin Myers,FA,2017,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0
ART 31A,31A,Modernism,Sami Siegelbaum,FA,2017,4,21,19,16,5,3,0,2,0,0,0,0,0,0,0
ART 11B,11B,Photography,Rodrigo Valenzuela,FA,2017,4,6,6,2,1,0,0,0,0,0,0,0,0,0,0
ART 21B,21B,Production: Moving Image and Sound,Owen Kydd,FA,2017,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ART 11D,11D,New Genres,Marco Rios,FA,2017,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0
ART 133,133,Advanced Painting,Lari Pittman,FA,2017,0,8,5,4,0,0,0,0,0,0,0,0,0,0,0
ART 147,147,Advanced Photography,Matthew Lipps,FA,2017,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
ART 11E,11E,Ceramics,Kevin Myers,FA,2017,5,8,0,0,0,0,0,1,2,0,0,0,0,0,0
ART 1A,1A,Drawing,Nicholas Lowe,FA,2017,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ART 150,150,Senior Studio,Adrian Wong,FA,2017,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
ART 140,140,Advanced Printmaking,Jacob Samuel,FA,2017,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0
ART 11D,11D,New Genres,Jeffrey Vallance,FA,2017,5,7,0,2,3,0,0,0,0,0,0,0,0,0,0
ART 11A,11A,Painting,John Seal,FA,2017,1,5,7,4,0,1,0,0,0,0,0,0,0,0,0
ART HIS 185,185,Undergraduate Seminar,George Baker,FA,2017,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0
ART HIS C145A,C145A,Architecture and Urbanism in Africa,Steven Nelson,FA,2017,0,9,9,8,13,7,2,3,2,0,0,0,1,0,0
ART HIS 121C,121C,Italian Art of Cinquecento,Bronwen Wilson,FA,2017,2,11,8,12,8,8,2,3,1,0,2,0,0,0,2
ART HIS C131A,C131A,"Contemporary Art, 1940s to 1950s",Nicholas Machida,FA,2017,1,8,11,8,9,8,1,0,0,0,0,0,2,0,1
ART HIS 27,27,Art and Architecture of Ancient Americas,John Pohl,FA,2017,18,109,65,28,13,8,4,6,3,0,0,1,1,0,10
ART HIS M110A,M110A,"Art and Architecture of Ancient Egypt, Predynastic Period to New Kingdom",Nethany Simpson,FA,2017,0,4,7,5,10,2,3,1,3,0,2,0,0,0,2
ART HIS 24,24,Architecture in Modern World,Dell Upton,FA,2017,0,34,48,36,30,24,16,9,6,5,0,1,3,0,18
ART HIS M113B,M113B,Roman Art and Archaeology,Sarah Beckmann,FA,2017,0,8,10,3,1,1,0,1,0,0,0,0,1,0,0
ART HIS C142B,C142B,Latin American Art of 20th Century,Charlene Black,FA,2017,0,10,3,3,0,0,0,0,0,0,0,0,0,0,1
ART HIS C115D,C115D,"Art and Material Culture, Neolithic to 210 B.C.",Meredith Cohen,FA,2017,1,11,3,7,6,1,2,1,2,2,1,3,0,0,1
ART HIS C149,C149,Selected Topics in Chinese Art,Lothar Von falkenhausen,FA,2017,0,13,2,1,1,2,0,0,0,0,0,0,0,0,0
ART HIS C126,C126,Selected Topics in Early Modern Art,Bronwen Wilson,FA,2017,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0
ART&ARC 10,10,Arts Encounters: Exploring Arts Literacy in 21st Century,Meryl Friedman,FA,2017,29,144,24,4,1,1,1,0,2,0,0,0,1,0,2
ART&ARC 10,10,Arts Encounters: Exploring Arts Literacy in 21st Century,David Gere,FA,2017,29,144,24,4,1,1,1,0,2,0,0,0,1,0,2
ART&ARC 100,100,Selected Topics in Arts,Cayetano Ferrer,FA,2017,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0
ARTS ED M192,M192,"Arts Education Undergraduate Practicum: Preparation, Observation, and Practice",Onya Hogan-Finlay,FA,2017,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
ARTS ED M102,M102,Introduction to Arts Education for Multiple Publics: Theory and Practice,Jessica Bianchi,FA,2017,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0
ASIA AM 40,40,Asian American Movement,Victor Bascara,FA,2017,0,90,40,5,1,0,0,0,0,0,0,0,0,0,7
ASIA AM 122A,122A,"Indigeneity, Empire, and Resistance in Pacific Islands",Keith Camacho,FA,2017,3,22,16,8,3,2,0,0,0,0,0,0,0,0,2
ASIA AM 113,113,Asian Americans and Law,Kent Wong,FA,2017,0,16,11,4,24,12,0,0,0,0,0,0,0,0,12
ASIA AM 121,121,Exploring Asian American Theater,Carolina San Juan,FA,2017,3,4,1,3,1,0,1,1,0,0,0,0,1,0,0
ASIA AM 10,10,History of Asian Americans,Kelly Fong,FA,2017,0,93,32,4,8,3,1,0,0,1,0,0,1,1,2
ASIA AM 113,113,Asian Americans and Law,Stewart Kwoh,FA,2017,0,16,11,4,24,12,0,0,0,0,0,0,0,0,12
ASIA AM 20,20,Contemporary Asian American Communities,L Welty,FA,2017,0,97,17,9,4,2,0,0,1,0,1,0,3,0,7
ASIA AM C142A,C142A,Ethnocommunications I: Introduction to Creating Community Media,Jack Chen,FA,2017,0,15,3,0,0,0,0,1,0,0,0,0,0,0,0
ASIA AM 187C,187C,Special Courses in Asian American Populations and Communities,Jolie Chea,FA,2017,2,7,10,13,4,10,0,2,5,2,1,0,1,1,0
ASIA AM C142A,C142A,Ethnocommunications I: Introduction to Creating Community Media,Renee Tajima,FA,2017,0,15,3,0,0,0,0,1,0,0,0,0,0,0,0
ASIAN M60W,M60W,Introduction to Buddhism,William Bodiford,FA,2017,0,10,9,5,6,3,1,1,0,0,0,0,0,0,0
ASIAN 100,100,Methods in Asian Linguistics,Hongyin Tao,FA,2017,20,17,6,4,1,0,1,0,0,0,0,0,0,0,0
ASIAN 30,30,Languages and Cultures of Asia,Shoichi Iwasaki,FA,2017,7,12,25,14,11,7,6,7,4,1,0,0,1,1,3
ASL 1,1,Elementary American Sign Language,Benjamin Lewis,FA,2017,2,18,6,1,1,0,0,0,0,0,0,0,0,0,0
ASL 4,4,Intermediate American Sign Language,Benjamin Lewis,FA,2017,2,7,2,0,1,0,1,0,0,0,0,0,0,0,1
ASTR 180,180,Astrophysics Laboratory,Michael Fitzgerald,FA,2017,3,3,1,3,0,2,3,0,1,1,1,0,1,0,0
ASTR 5,5,Life in Universe,Matthew Malkan,FA,2017,3,19,17,17,10,13,9,6,12,11,7,5,4,9,4
ASTR 3,3,Nature of Universe,Alice Shapley,FA,2017,2,18,27,27,18,27,8,7,8,0,2,0,3,0,9
ASTR 4,4,Black Holes and Cosmic Catastrophes,Matthew Malkan,FA,2017,1,7,7,6,4,6,6,3,6,1,1,1,2,5,5
ASTR 3,3,Nature of Universe,Brad Hansen,FA,2017,6,26,39,46,17,11,1,5,1,0,0,0,0,0,10
BIOENGR CM145,CM145,Molecular Biotechnology for Engineers,Yvonne Chen,FA,2017,1,3,2,1,2,0,1,2,1,0,0,0,0,0,0
BIOENGR C104,C104,Physical Chemistry of Biomacromolecules,Gerard Wong,FA,2017,0,11,4,5,4,1,0,0,0,0,0,0,0,0,0
BIOENGR 177A,177A,Bioengineering Capstone Design I,Stephanie Seidlits,FA,2017,15,19,13,0,0,0,0,0,0,0,0,0,0,0,0
BIOENGR CM178,CM178,Introduction to Biomaterials,Andrea Kasko,FA,2017,0,4,1,2,2,0,1,0,0,0,1,0,0,0,0
BIOENGR C106,C106,Topics in Bioelectricity for Bioengineers,Jacob Schmidt,FA,2017,2,4,5,2,4,3,1,1,0,0,0,0,0,0,0
BIOENGR 10,10,Introduction to Bioengineering,Zachary Taylor,FA,2017,19,61,16,3,3,0,1,0,0,0,0,0,0,0,0
BIOENGR C105,C105,Engineering of Bioconjugates,Timothy Deming,FA,2017,2,3,2,5,2,1,0,1,1,0,0,0,0,0,0
BIOENGR CM102,CM102,Human Physiological Systems for Bioengineering I,Warren Grundfest,FA,2017,1,5,3,5,8,0,1,2,0,0,0,0,1,0,0
BIOENGR 100,100,Bioengineering Fundamentals,Daniel Kamei,FA,2017,0,18,13,7,12,3,2,1,3,3,1,1,2,0,0
BIOSTAT 100A,100A,Introduction to Biostatistics,David Gjertson,FA,2017,29,123,12,8,6,2,0,1,0,0,0,0,0,0,0
BIOSTAT 100A,100A,Introduction to Biostatistics,James Sayre,FA,2017,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
BIOSTAT 100A,100A,Introduction to Biostatistics,Martin Lee,FA,2017,0,13,1,3,5,0,0,0,0,0,0,0,0,0,0
BMD RES 5HA,5HA,Biomedical Research: Concepts and Strategies,Rafael Romero,FA,2017,6,39,23,6,7,0,0,0,0,0,0,0,0,0,0
BMD RES 5HB,5HB,Biomedical Research: Essential Skills and Concepts,Kirsten Turlo,FA,2017,4,22,2,0,1,0,0,0,0,0,0,0,0,0,0
BMD RES 5HB,5HB,Biomedical Research: Essential Skills and Concepts,Ira Clark,FA,2017,4,22,2,0,1,0,0,0,0,0,0,0,0,0,0
BMD RES 10H,10H,"Research Training in Genes, Genetics, and Genomics",Ira Clark,FA,2017,5,6,6,2,0,0,0,0,0,0,0,0,0,0,0
BMD RES 10H,10H,"Research Training in Genes, Genetics, and Genomics",Cory Evans,FA,2017,5,6,6,2,0,0,0,0,0,0,0,0,0,0,0
BMD RES 5HA,5HA,Biomedical Research: Concepts and Strategies,Ira Clark,FA,2017,6,39,23,6,7,0,0,0,0,0,0,0,0,0,0
C&EE 120,120,Principles of Soil Mechanics,Scott Brandenberg,FA,2017,5,24,17,13,7,2,1,0,1,0,0,0,0,0,0
C&EE 156A,156A,Environmental Chemistry Laboratory,Sim-lin Lau,FA,2017,6,6,2,4,0,0,0,0,0,0,0,0,0,0,0
C&EE 181,181,Traffic Engineering Systems: Operations and Control,W Okitsu,FA,2017,0,12,6,3,2,2,0,0,0,0,0,0,0,0,0
C&EE 135A,135A,Elementary Structural Analysis,Jiann-wen Ju,FA,2017,5,15,13,11,17,8,0,0,0,0,0,0,0,0,0
C&EE 135L,135L,Structural Design and Testing Laboratory,Eric Ahlberg,FA,2017,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0
C&EE 157A,157A,Hydrologic Modeling,Timu Gallien,FA,2017,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0
C&EE 155,155,Unit Operations and Processes for Water and Wastewater Treatment,Saeedreza Hafeznezami,FA,2017,16,14,5,1,0,0,1,1,0,0,0,0,0,0,0
C&EE 181,181,Traffic Engineering Systems: Operations and Control,Samuel Morrissey,FA,2017,0,12,6,3,2,2,0,0,0,0,0,0,0,0,0
C&EE 141,141,Steel Structures,Kane Pithey,FA,2017,2,5,3,4,5,6,3,6,1,0,0,0,0,0,0
C&EE 1,1,Introduction to Civil Engineering,Jonathan Stewart,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
C&EE 91,91,Statics,Gaurav Sant,FA,2017,0,3,6,11,18,17,5,12,3,1,2,2,4,0,0
C&EE 153,153,Introduction to Environmental Engineering Science,Sanjay Mohanty,FA,2017,11,22,34,19,26,23,15,4,3,0,0,0,1,0,0
C&EE 150,150,Introduction to Hydrology,Gonzalo Cortes Soruco,FA,2017,8,17,18,28,3,0,1,2,0,0,0,1,0,0,0
C&EE ST 91,91,Culture and Society in Central and Eastern Europe,Georgiana Galateanu,FA,2017,1,20,3,5,5,1,1,0,1,0,1,0,1,1,0
CH ENGR 101A,101A,Transport Phenomena I,Yoram Cohen,FA,2017,0,10,7,22,19,21,6,3,1,0,1,0,1,0,0
CH ENGR 100,100,Fundamentals of Chemical and Biomolecular Engineering,Harold Monbouquette,FA,2017,6,22,15,7,10,14,14,8,4,0,2,0,2,0,0
CH ENGR 10,10,Introduction to Chemical and Biomolecular Engineering,Yi Tang,FA,2017,0,106,5,0,7,4,0,1,0,0,0,0,0,0,0
CH ENGR C121,C121,Membrane Science and Technology,Anditya Rahardianto,FA,2017,5,3,6,1,0,0,0,0,0,0,0,0,0,0,0
CH ENGR 104B,104B,Chemical and Biomolecular Engineering Laboratory II,Timothy Grasel,FA,2017,1,5,7,2,7,1,0,0,1,0,0,0,0,0,0
CH ENGR CM145,CM145,Molecular Biotechnology for Engineers,Yvonne Chen,FA,2017,2,1,0,6,2,2,0,2,1,0,0,0,0,0,0
CH ENGR 106,106,Chemical Reaction Engineering,Yunfeng Lu,FA,2017,2,9,10,10,11,7,3,3,0,0,4,2,0,0,0
CH ENGR C111,C111,Cryogenics and Low-Temperature Processes,Sidney Yuan,FA,2017,4,3,2,6,1,3,0,0,0,0,0,0,1,0,0
CH ENGR 109,109,Numerical and Mathematical Methods in Chemical and Biological Engineering,Panagiotis Christofides,FA,2017,0,22,14,12,9,12,6,8,6,0,0,0,0,0,0
CH ENGR C115,C115,Biochemical Reaction Engineering,Tatiana Segura,FA,2017,2,9,1,2,5,3,2,1,0,0,0,0,1,0,0
CHEM 14BL,14BL,General and Organic Chemistry Laboratory I,Jennifer Casey,FA,2017,5,55,37,24,41,19,13,10,4,0,5,0,2,0,1
CHEM 153L,153L,Biochemical Methods I,Anne Hong-Hermesdorf,FA,2017,0,45,27,11,15,13,7,6,7,2,3,0,6,1,1
CHEM 189,189,Advanced Honors Seminars,Richard Kaner,FA,2017,0,39,13,2,0,0,0,0,0,0,0,0,0,0,0
CHEM 171,171,Intermediate Inorganic Chemistry,Richard Kaner,FA,2017,4,45,9,7,68,15,12,12,2,0,0,0,0,0,0
CHEM 30CL,30CL,Organic Chemistry Laboratory II,Shuming Chen,FA,2017,3,8,3,8,5,2,3,2,0,0,0,0,0,0,0
CHEM 14C,14C,Structure of Organic Molecules,Jennifer Prado,FA,2017,86,84,56,51,45,19,16,14,7,0,2,0,3,0,1
CHEM 153A,153A,"Biochemistry: Introduction to Structure, Enzymes, and Metabolism",William Silkworth,FA,2017,4,5,14,49,44,23,20,6,6,0,4,0,4,2,0
CHEM 14C,14C,Structure of Organic Molecules,Hung Pham,FA,2017,27,54,42,54,29,43,47,27,19,2,1,0,1,0,0
CHEM 114,114,Physical Chemistry Laboratory,Delroy Baugh,FA,2017,2,1,1,2,0,0,1,0,4,0,0,0,0,0,0
CHEM 153A,153A,"Biochemistry: Introduction to Structure, Enzymes, and Metabolism",Christopher Lee,FA,2017,8,53,23,23,31,17,13,10,7,0,3,2,2,0,0
CHEM 30A,30A,Chemical Dynamics and Reactivity: Introduction to Organic Chemistry,Hung Pham,FA,2017,6,24,11,22,17,21,25,20,18,7,4,0,1,1,1
CHEM 156,156,Physical Biochemistry,John Colicelli,FA,2017,2,9,5,5,6,3,3,2,2,0,0,0,0,0,1
CHEM 14B,14B,"Thermodynamics, Electrochemistry, Kinetics, and Organic Chemistry",Roshini Ramachandran,FA,2017,5,59,27,47,21,22,7,4,1,0,1,0,0,0,1
CHEM 20A,20A,Chemical Structure,Eric Scerri,FA,2017,0,57,27,62,55,40,20,18,11,0,22,0,14,1,1
CHEM 17,17,Chemical Principles,Eric Scerri,FA,2017,14,31,10,27,19,16,12,14,13,0,6,0,12,1,5
CHEM 153B,153B,"Biochemistry: DNA, RNA, and Protein Synthesis",Guillaume Chanfreau,FA,2017,0,12,15,11,15,7,5,0,1,0,1,0,2,0,0
CHEM 125,125,Computers in Chemistry,Max Kopelevich,FA,2017,3,12,3,9,3,0,0,0,0,0,0,0,0,0,1
CHEM 30B,30B,"Organic Chemistry: Reactivity and Synthesis, Part I",Craig Merlic,FA,2017,13,48,20,24,37,22,26,42,16,0,7,0,17,1,0
CHEM 153A,153A,"Biochemistry: Introduction to Structure, Enzymes, and Metabolism",Heather Tienson,FA,2017,3,56,25,20,48,29,11,16,7,0,6,0,0,0,0
CHEM 14A,14A,"Atomic and Molecular Structure, Equilibria, Acids, and Bases",Jennifer Casey,FA,2017,9,121,43,22,51,28,4,20,12,0,4,0,13,1,0
CHEM 14A,14A,"Atomic and Molecular Structure, Equilibria, Acids, and Bases",Laurence Lavelle,FA,2017,35,118,118,95,66,44,25,37,24,1,5,1,5,0,1
CHEM 14CL,14CL,General and Organic Chemistry Laboratory II,Maher Henary,FA,2017,0,67,11,19,76,12,12,21,8,0,5,0,1,2,4
CHEM 30AL,30AL,General Chemistry Laboratory II,Johnny Pang,FA,2017,0,86,40,12,62,2,4,10,0,0,2,0,0,0,0
CHEM 185,185,Materials Chemistry Laboratory,Xiangfeng Duan,FA,2017,2,5,5,3,1,0,0,0,0,0,0,0,0,0,0
CHEM 20AH,20AH,Chemical Structure,William Gelbart,FA,2017,9,18,9,18,16,5,4,1,4,0,0,0,0,1,1
CHEM 113A,113A,Physical Chemistry: Introduction to Quantum Mechanics,Zhao Li,FA,2017,3,3,4,5,2,1,2,0,1,0,0,0,1,0,0
CHEM 153C,153C,Biochemistry: Biosynthetic and Energy Metabolism and Its Regulation,Heather Tienson,FA,2017,2,17,9,11,7,3,1,10,1,0,1,0,3,0,0
CHEM 20A,20A,Chemical Structure,Delroy Baugh,FA,2017,86,117,41,39,32,14,9,18,5,5,2,0,13,2,0
CHEM 30BL,30BL,Organic Chemistry Laboratory I,Jacquelin Kammeyer,FA,2017,3,9,16,20,14,3,4,0,0,0,0,0,0,0,0
CHEM 20A,20A,Chemical Structure,D.M. Mantonya,FA,2017,86,117,41,39,32,14,9,18,5,5,2,0,13,2,0
